"","COMID","width.ft","PercentWoodyDebris","LengthFt","BottomWidthFt","width.km"
"401","12953302",54.3,30,30.6,46.2,0.01655064
"402","12953302",46.2,5,74.4,44.1,0.01408176
"403","12953302",44.1,5,34.8,45.3,0.01344168
"404","12953302",45.3,10,174.3,60.9,0.01380744
"405","12953302",60.9,25,137.4,57.6,0.01856232
"406","12953302",57.6,10,33,46.8,0.01755648
"407","12953302",46.8,15,48.9,48.6,0.01426464
"408","12953302",48.6,20,110.1,49.2,0.01481328
"409","12953302",49.2,15,171.9,59.4,0.01499616
"410","12953302",59.4,15,110.1,75.3,0.01810512
"411","12953302",75.3,15,40.5,64.5,0.02295144
"412","12953302",64.5,35,88.2,63,0.0196596
"413","12953302",63,20,175.2,48.9,0.0192024
"414","12953302",48.9,5,88.5,46.5,0.01490472
"415","12953302",46.5,10,138.9,53.1,0.0141732
"416","12953302",53.1,5,56.4,47.4,0.01618488
"417","12953302",47.4,15,57.9,43.8,0.01444752
"418","12953302",43.8,10,120.6,36.6,0.01335024
"419","12953302",36.6,5,50.7,43.2,0.01115568
"420","12953302",43.2,20,99.3,37.2,0.01316736
"421","12953302",37.2,10,300.9,53.1,0.01133856
"422","12953302",53.1,10,42.6,43.8,0.01618488
"424","12953302",48,10,183.3,50.4,0.0146304
"425","12953302",50.4,15,237.3,42.6,0.01536192
"426","12953302",42.6,10,132.9,41.1,0.01298448
"427","12953302",41.1,20,60.3,32.1,0.01252728
"428","12953302",32.1,20,148.2,38.7,0.00978408
"429","12953302",38.7,15,174.6,50.1,0.01179576
"430","12953302",50.1,10,145.2,63.3,0.01527048
"431","12953302",63.3,5,55.8,43.8,0.01929384
"432","12953302",43.8,15,113.4,50.1,0.01335024
"433","12953302",50.1,5,82.8,36,0.01527048
"434","12953302",36,30,123.9,62.7,0.0109728
"435","12953302",62.7,50,37.8,69,0.01911096
"436","12953302",69,15,240,38.7,0.0210312
"437","12953302",38.7,15,100.2,45,0.01179576
"438","12953302",45,20,85.2,42.3,0.013716
"439","12953302",42.3,5,321.6,47.4,0.01289304
"440","12953302",47.4,5,175.5,61.8,0.01444752
"442","12953302",35.4,5,32.7,36.6,0.01078992
"443","12953302",36.6,20,230.7,60.9,0.01115568
"444","12953302",60.9,30,87.3,37.5,0.01856232
"445","12953302",37.5,15,40.2,51.9,0.01143
"446","12953302",51.9,20,125.7,55.8,0.01581912
"447","12953302",55.8,50,31.2,47.4,0.01700784
"448","12953302",47.4,75,47.7,36.3,0.01444752
"449","12953302",36.3,15,141,49.5,0.01106424
"450","12953302",49.5,10,97.8,48.9,0.0150876
"451","12953302",48.9,15,126.3,37.5,0.01490472
"452","12953302",37.5,10,125.7,39.9,0.01143
"453","12953302",39.9,5,30.6,37.5,0.01216152
"455","12953302",48.9,30,44.4,34.8,0.01490472
"456","12953302",34.8,15,222.3,54.9,0.01060704
"457","12953302",54.9,20,136.8,51.6,0.01673352
"458","12953302",51.6,25,64.2,42.3,0.01572768
"459","12953302",42.3,20,173.7,69.6,0.01289304
"460","12953302",69.6,10,180.3,42,0.02121408
"461","12953302",42,25,108.9,43.2,0.0128016
"462","12953302",43.2,30,61.2,36.9,0.01316736
"463","12953302",36.9,20,186,39.3,0.01124712
"464","12953302",39.3,10,206.1,45.9,0.01197864
"465","12953302",45.9,5,269.1,49.8,0.01399032
"466","12953302",49.8,5,243.3,43.8,0.01517904
"467","12953302",43.8,15,130.8,43.2,0.01335024
"468","12953302",43.2,30,66,37.5,0.01316736
"469","12953302",37.5,5,131.7,38.7,0.01143
"470","12953302",33.9,15,153.3,29.4,0.01033272
"471","12953302",29.4,5,198.3,55.8,0.00896112
"472","12953302",55.8,25,108.6,38.1,0.01700784
"473","12953302",38.1,5,253.2,36.3,0.01161288
"638","12952652",21,5,58.5,25.5,0.0064008
"639","12952652",25.5,5,128.1,25.2,0.0077724
"642","12952652",26.7,0,108.6,28.2,0.00813816
"643","12952652",28.2,5,566.7,24.3,0.00859536
"644","12952652",24.3,10,226.2,30.6,0.00740664
"645","12952652",30.6,10,46.5,40.5,0.00932688
"646","12952652",40.5,5,29.1,29.1,0.0123444
"647","12952652",29.1,10,89.4,24.9,0.00886968
"648","12952652",24.9,10,100.5,24.6,0.00758952
"649","12952652",24.6,15,197.7,21.9,0.00749808
"650","12952652",21.9,5,60,24.6,0.00667512
"651","12952652",24.6,5,97.8,27,0.00749808
"652","12952652",27,15,165.9,30.9,0.0082296
"653","12952652",30.9,5,48.6,14.7,0.00941832
"654","12952652",14.7,5,406.2,25.2,0.00448056
"655","12952652",25.2,15,651.9,21.9,0.00768096
"657","12952652",17.1,0,41.7,24,0.00521208
"658","12952652",24,10,717.9,27.9,0.0073152
"659","12952652",27.9,5,72,30.3,0.00850392
"660","12952652",30.3,5,200.1,26.7,0.00923544
"661","12952652",26.7,0,132.9,23.4,0.00813816
"662","12952652",23.4,5,345.6,21.9,0.00713232
"663","12952652",21.9,15,45.9,27.3,0.00667512
"664","12952652",27.3,10,1019.4,58.2,0.00832104
"665","12952652",58.2,25,44.1,59.4,0.01773936
"666","12952652",59.4,15,415.5,21.9,0.01810512
"667","12952652",21.9,15,59.7,20.4,0.00667512
"668","12952652",20.4,5,75.6,30.3,0.00621792
"669","12952652",30.3,10,120,37.2,0.00923544
"670","12952652",37.2,10,144,27,0.01133856
"671","12952652",27,5,126.9,30.9,0.0082296
"672","12952652",30.9,10,192.3,27.3,0.00941832
"674","12952652",31.5,60,39.3,30.9,0.0096012
"675","12952652",30.9,20,37.8,24.3,0.00941832
"676","12952652",24.3,10,97.5,29.7,0.00740664
"677","12952652",29.7,10,867.3,29.1,0.00905256
"678","12952652",29.1,10,150.3,33.3,0.00886968
"679.2","12952652",33.3,5,518.1,42.6,0.01014984
"560","12953278",46.8,30,1468.2,15.3,0.01426464
"561","12953278",15.3,20,1013.7,17.7,0.00466344
"562","12953278",17.7,40,1076.4,36.3,0.00539496
"563","12953278",36.3,40,1160.7,27,0.01106424
"564","12953278",27,55,1192.2,20.7,0.0082296
"565","12953278",20.7,20,1204.8,33,0.00630936
"566","12953278",33,20,675.9,15.9,0.0100584
"567","12953278",15.9,10,1135.2,18,0.00484632
"568","12953278",18,20,1204.2,15.3,0.0054864
"569","12953278",15.3,25,1060.8,18,0.00466344
"570","12953278",18,25,1085.1,21.6,0.0054864
"571","12953278",21.6,30,1202.7,16.5,0.00658368
"572","12953278",16.5,25,1089.3,19.8,0.0050292
"573","12953278",19.8,15,1023.6,18,0.00603504
"574","12953278",18,30,1022.4,30.6,0.0054864
"575","12953278",32.4,5,924,19.5,0.00987552
"576","12953278",19.5,10,1061.4,40.5,0.0059436
"577","12953278",40.5,15,1217.1,37.8,0.0123444
"578","12953278",37.8,25,1098.3,26.7,0.01152144
"579","12953278",26.7,30,1036.2,38.7,0.00813816
"580","12953278",38.7,30,234.6,23.1,0.01179576
"581","12953278",23.1,20,450.6,48.9,0.00704088
"582","12953278",48.9,30,1206.3,40.8,0.01490472
"583","12953278",40.8,30,1088.7,44.4,0.01243584
"584","12953278",44.4,40,1169.7,32.7,0.01353312
"585","12953278",32.7,30,1205.7,36.9,0.00996696
"586","12953278",36.9,30,1250.7,38.1,0.01124712
"587","12953278",38.1,20,548.4,28.2,0.01161288
"589","12953278",25.2,15,412.5,28.5,0.00768096
"590","12953278",28.5,5,61.2,21.9,0.0086868
"592","12953278",29.7,5,1279.5,59.4,0.00905256
"593","12953278",59.4,5,485.7,54.9,0.01810512
"594","12953278",54.9,5,381.9,23.7,0.01673352
"595","12953278",23.7,5,109.2,15.6,0.00722376
"596","12953278",13.8,5,62.1,21.9,0.00420624
"597","12953278",21.9,15,889.8,24.6,0.00667512
"598","12953278",24.6,20,995.1,27.9,0.00749808
"599","12953278",27.9,20,909,26.7,0.00850392
"600","12953278",26.7,25,956.7,28.5,0.00813816
"601","12953278",28.5,30,774,24.6,0.0086868
"602","12953278",24.6,30,34.8,20.4,0.00749808
"604","12953278",26.1,20,1504.8,28.8,0.00795528
"605","12953278",28.8,25,1065,21.6,0.00877824
"606","12953278",21.6,15,743.4,25.2,0.00658368
"607","12953278",25.2,20,1107,21,0.00768096
"608","12953278",21,25,802.2,23.1,0.0064008
"609","12953278",23.1,5,57.6,22.5,0.00704088
"610","12953278",22.5,10,278.4,20.4,0.006858
"611","12953278",20.4,0,23.1,29.7,0.00621792
"612","12953278",29.7,5,63.3,14.4,0.00905256
"613","12953278",14.4,10,357.6,27.6,0.00438912
"614","12953278",27.6,5,185.7,23.7,0.00841248
"615","12953278",23.7,5,66.9,24,0.00722376
"616","12953278",24,5,118.5,23.4,0.0073152
"617","12953278",23.4,5,225.3,29.1,0.00713232
"618","12953278",29.1,5,186.6,32.1,0.00886968
"619","12953278",32.1,5,130.2,28.5,0.00978408
"620","12953278",28.5,5,1149.6,20.4,0.0086868
"621","12953278",20.4,5,106.2,24.6,0.00621792
"622","12953278",24.6,10,137.4,19.2,0.00749808
"623","12953278",19.2,15,154.8,34.5,0.00585216
"624","12953278",34.5,10,38.7,31.5,0.0105156
"625","12953278",31.5,10,84,31.2,0.0096012
"626","12953278",31.2,20,213.6,17.7,0.00950976
"627","12953278",17.7,15,103.5,34.8,0.00539496
"628","12953278",34.8,5,37.2,39.6,0.01060704
"629","12953278",39.6,10,90,20.7,0.01207008
"630","12953278",20.7,10,160.5,18.9,0.00630936
"631","12953278",18.9,15,967.5,25.5,0.00576072
"632","12953278",25.5,20,565.8,37.5,0.0077724
"633","12953278",37.5,10,61.8,22.2,0.01143
"634","12953278",22.2,5,57.3,26.7,0.00676656
"635","12953278",26.7,5,235.2,28.2,0.00813816
"636","12953278",28.2,5,114.3,28.5,0.00859536
"637","12953278",28.5,10,729.9,21,0.0086868
"556","12953232",81,15,9,24,0.0246888
"557","12953232",24,25,983.7,19.5,0.0073152
"558","12953232",19.5,20,1140.9,13.5,0.0059436
"559","12953232",13.5,40,1000.8,46.8,0.0041148
"1115","12952856",13,NA,NA,NA,0.0039624
"2100","12952856",27,NA,NA,NA,0.0082296
"347","12952856",17,NA,NA,NA,0.0051816
"423","12952856",22,NA,NA,NA,0.0067056
"512","12952856",20,NA,NA,NA,0.006096
"640","12952856",16,NA,NA,NA,0.0048768
"710","12952856",19,NA,NA,NA,0.0057912
"813","12952856",18,NA,NA,NA,0.0054864
"914","12952856",26,NA,NA,NA,0.0079248
"1057","12952856",25,NA,NA,NA,0.00762
"1124","12952856",25,NA,NA,NA,0.00762
"1261","12952856",23,NA,NA,NA,0.0070104
"1320","12952856",30,NA,NA,NA,0.009144
"1411","12952856",39,NA,NA,NA,0.0118872
"1511","12952856",39,NA,NA,NA,0.0118872
"1628","12952856",39,NA,NA,NA,0.0118872
"1712","12952856",31,NA,NA,NA,0.0094488
"1810","12952856",42,NA,NA,NA,0.0128016
"1910","12952856",42,NA,NA,NA,0.0128016
"2010","12952856",42,NA,NA,NA,0.0128016
"2110","12952856",45,NA,NA,NA,0.013716
"2210","12952856",42,NA,NA,NA,0.0128016
"2310","12952856",60,NA,NA,NA,0.018288
"2410","12952856",42,NA,NA,NA,0.0128016
"2510","12952856",30,NA,NA,NA,0.009144
"2610","12952856",40,NA,NA,NA,0.012192
"2710","12953232",20,NA,NA,NA,0.006096
"2810","12953232",16,NA,NA,NA,0.0048768
"2910","12953232",16,NA,NA,NA,0.0048768
"3010","12953232",17,NA,NA,NA,0.0051816
"3110","12953232",21,NA,NA,NA,0.0064008
"3210","12953232",22,NA,NA,NA,0.0067056
"3310","12953232",17,NA,NA,NA,0.0051816
"348","12953232",19,NA,NA,NA,0.0057912
"356","12953232",18,NA,NA,NA,0.0054864
"365","12953232",13,NA,NA,NA,0.0039624
"371","12953232",15,NA,NA,NA,0.004572
"3810","12953232",15,NA,NA,NA,0.004572
"394","12953232",10,NA,NA,NA,0.003048
"4010","12953232",25,NA,NA,NA,0.00762
"4110","12953232",26,NA,NA,NA,0.0079248
"4210","12953232",23,NA,NA,NA,0.0070104
"4310","12953232",19,NA,NA,NA,0.0057912
"441","12953232",19,NA,NA,NA,0.0057912
"454","12953232",22,NA,NA,NA,0.0067056
"4610","12953232",24,NA,NA,NA,0.0073152
"475","12953232",26,NA,NA,NA,0.0079248
"4810","12953232",29,NA,NA,NA,0.0088392
"493","12953232",22,NA,NA,NA,0.0067056
"504","12953232",27,NA,NA,NA,0.0082296
"518","12953232",50,NA,NA,NA,0.01524
"5210","12953232",42,NA,NA,NA,0.0128016
"533","12953232",23,NA,NA,NA,0.0070104
"5410","12953232",25,NA,NA,NA,0.00762
"553","12953232",25,NA,NA,NA,0.00762
"5610","12953232",29,NA,NA,NA,0.0088392
"5710","12953232",33,NA,NA,NA,0.0100584
"588","12953232",27,NA,NA,NA,0.0082296
"591","12953232",25,NA,NA,NA,0.00762
"603","12953232",27,NA,NA,NA,0.0082296
"6110","12953232",35,NA,NA,NA,0.010668
"6210","12953232",32,NA,NA,NA,0.0097536
"6310","12953232",31,NA,NA,NA,0.0094488
"641","12953232",32,NA,NA,NA,0.0097536
"656","12953232",34,NA,NA,NA,0.0103632
"6610","12953622",28,NA,NA,NA,0.0085344
"673","12953622",22,NA,NA,NA,0.0067056
"6810","12953622",22,NA,NA,NA,0.0067056
"696","12953622",33,NA,NA,NA,0.0100584
"702","12953622",24,NA,NA,NA,0.0073152
"7110","12953622",49,NA,NA,NA,0.0149352
"7210","12953622",34,NA,NA,NA,0.0103632
"731","12953622",37,NA,NA,NA,0.0112776
"741","12953622",31,NA,NA,NA,0.0094488
"7510","12953622",32,NA,NA,NA,0.0097536
"767","12953622",30,NA,NA,NA,0.009144
"7710","12953622",58,NA,NA,NA,0.0176784
"7810","12953622",81,NA,NA,NA,0.0246888
"796","12953622",15,NA,NA,NA,0.004572
"80","12953622",28,NA,NA,NA,0.0085344
"8110","12953622",30,NA,NA,NA,0.009144
"826","12953622",15,NA,NA,NA,0.004572
"8310","12953622",22,NA,NA,NA,0.0067056
"843","12953622",16,NA,NA,NA,0.0048768
"8510","12953622",28,NA,NA,NA,0.0085344
"8610","12953622",38,NA,NA,NA,0.0115824
"876","12953622",27,NA,NA,NA,0.0082296
"884","12953622",26,NA,NA,NA,0.0079248
"8910","12953622",21,NA,NA,NA,0.0064008
"9010","12953622",23,NA,NA,NA,0.0070104
"9110","8989986",10,NA,NA,NA,0.003048
"9210","8989986",10,NA,NA,NA,0.003048
"932","8989986",9,NA,NA,NA,0.0027432
"94","8989986",16,NA,NA,NA,0.0048768
"959","8989986",14,NA,NA,NA,0.0042672
"9610","8989986",12,NA,NA,NA,0.0036576
"977","8989986",12,NA,NA,NA,0.0036576
"9810","8989986",12,NA,NA,NA,0.0036576
"9910","8989986",10,NA,NA,NA,0.003048
"10010","8989986",5,NA,NA,NA,0.001524
"10110","8989986",7,NA,NA,NA,0.0021336
"10210","8989986",5,NA,NA,NA,0.001524
"10310","8989986",4,NA,NA,NA,0.0012192
"10410","12952968",69,NA,NA,NA,0.0210312
"10510","12952968",80,NA,NA,NA,0.024384
"1067","12952968",91,NA,NA,NA,0.0277368
"10710","12952968",131,NA,NA,NA,0.0399288
"10810","12952968",112,NA,NA,NA,0.0341376
"1097","12952968",79,NA,NA,NA,0.0240792
"11010","12952968",75,NA,NA,NA,0.02286
"11110","12952968",75,NA,NA,NA,0.02286
"1125","12952968",75,NA,NA,NA,0.02286
"1134","12952968",66,NA,NA,NA,0.0201168
"11410","12952968",62,NA,NA,NA,0.0188976
"1155","12952968",67,NA,NA,NA,0.0204216
"1165","12952968",69,NA,NA,NA,0.0210312
"1178","12952968",81,NA,NA,NA,0.0246888
"1188","12952968",84,NA,NA,NA,0.0256032
"1192","12952968",68,NA,NA,NA,0.0207264
"12010","12952968",56,NA,NA,NA,0.0170688
"12110","12952968",56,NA,NA,NA,0.0170688
"12210","12952968",57,NA,NA,NA,0.0173736
"12310","12952968",56,NA,NA,NA,0.0170688
"12410","12952968",78,NA,NA,NA,0.0237744
"12510","12952968",68,NA,NA,NA,0.0207264
"1263","12952968",67,NA,NA,NA,0.0204216
"12710","12952968",62,NA,NA,NA,0.0188976
"12810","12952968",54,NA,NA,NA,0.0164592
"1291","12952968",66,NA,NA,NA,0.0201168
"1305","12953010",47,NA,NA,NA,0.0143256
"13110","12953010",47,NA,NA,NA,0.0143256
"1324","12953010",49,NA,NA,NA,0.0149352
"1335","12953010",61,NA,NA,NA,0.0185928
"1347","12953010",63,NA,NA,NA,0.0192024
"13510","12953010",55,NA,NA,NA,0.016764
"13610","12953010",54,NA,NA,NA,0.0164592
"137","12953010",88,NA,NA,NA,0.0268224
"1382","12953010",92,NA,NA,NA,0.0280416
"13910","12953010",67,NA,NA,NA,0.0204216
"1402","12953010",71,NA,NA,NA,0.0216408
"14110","12953010",66,NA,NA,NA,0.0201168
"1426","12953010",71,NA,NA,NA,0.0216408
"14310","12953052",65,NA,NA,NA,0.019812
"14410","12953052",63,NA,NA,NA,0.0192024
"1456","12953052",61,NA,NA,NA,0.0185928
"1469","12953052",71,NA,NA,NA,0.0216408
"1471","12953052",64,NA,NA,NA,0.0195072
"1487","12953052",69,NA,NA,NA,0.0210312
"14910","12953052",79,NA,NA,NA,0.0240792
"15010","12953052",86,NA,NA,NA,0.0262128
"1512","12953052",70,NA,NA,NA,0.021336
"15210","12953052",70,NA,NA,NA,0.021336
"1536","12953052",66,NA,NA,NA,0.0201168
"1543","12953052",62,NA,NA,NA,0.0188976
"1551","12953052",90,NA,NA,NA,0.027432
"15610","12953348",46,NA,NA,NA,0.0140208
"15710","12953348",42,NA,NA,NA,0.0128016
"15810","12953348",44,NA,NA,NA,0.0134112
"15910","12953348",44,NA,NA,NA,0.0134112
"1605","12953348",49,NA,NA,NA,0.0149352
"16110","12953348",50,NA,NA,NA,0.01524
"16210","12953348",68,NA,NA,NA,0.0207264
"163","12953348",51,NA,NA,NA,0.0155448
"1644","12953348",45,NA,NA,NA,0.013716
"16510","12953348",52,NA,NA,NA,0.0158496
"16610","12953348",46,NA,NA,NA,0.0140208
"16710","12953348",41,NA,NA,NA,0.0124968
"16810","12953348",59,NA,NA,NA,0.0179832
"16910","12951216",16,NA,NA,NA,0.0048768
"17010","12951216",20,NA,NA,NA,0.006096
"17110","12951216",22,NA,NA,NA,0.0067056
"1726","12951216",25,NA,NA,NA,0.00762
"17310","12951216",23,NA,NA,NA,0.0070104
"17410","12951216",18,NA,NA,NA,0.0054864
"1754","12951216",22,NA,NA,NA,0.0067056
"17610","12951216",23,NA,NA,NA,0.0070104
"1773","12951216",33,NA,NA,NA,0.0100584
"1781","12951216",23,NA,NA,NA,0.0070104
"1791","12951216",29,NA,NA,NA,0.0088392
"1801","12951216",22,NA,NA,NA,0.0067056
"1811","12951216",22,NA,NA,NA,0.0067056
"1821","12953276",53,NA,NA,NA,0.0161544
"1831","12953276",63,NA,NA,NA,0.0192024
"1841","12953276",60,NA,NA,NA,0.018288
"1851","12953276",83,NA,NA,NA,0.0252984
"1861","12953276",50,NA,NA,NA,0.01524
"1871","12953276",52,NA,NA,NA,0.0158496
"1881","12953276",81,NA,NA,NA,0.0246888
"1891","12953276",54,NA,NA,NA,0.0164592
"1901","12953276",65,NA,NA,NA,0.019812
"1911","12953276",73,NA,NA,NA,0.0222504
"1921","12953276",61,NA,NA,NA,0.0185928
"1931","12953276",39,NA,NA,NA,0.0118872
"1941","12953276",60,NA,NA,NA,0.018288
"1951","12953268",130,NA,NA,NA,0.039624
"1961","12953268",109,NA,NA,NA,0.0332232
"1971","12953268",133,NA,NA,NA,0.0405384
"1981","12953268",110,NA,NA,NA,0.033528
"1991","12953268",103,NA,NA,NA,0.0313944
"2001","12953268",92,NA,NA,NA,0.0280416
"2011","12953268",84,NA,NA,NA,0.0256032
"2021","12953268",96,NA,NA,NA,0.0292608
"2031","12953268",103,NA,NA,NA,0.0313944
"2041","12953268",110,NA,NA,NA,0.033528
"2051","12953268",39,NA,NA,NA,0.0118872
"2061","12953268",78,NA,NA,NA,0.0237744
"2071","12953268",60,NA,NA,NA,0.018288
"2081","12953268",70,NA,NA,NA,0.021336
"2091","12953268",62,NA,NA,NA,0.0188976
"2101","12953268",112,NA,NA,NA,0.0341376
"2111","12953268",90,NA,NA,NA,0.027432
"2121","12953268",70,NA,NA,NA,0.021336
"2131","12953268",51,NA,NA,NA,0.0155448
"2141","12953268",72,NA,NA,NA,0.0219456
"2151","12953268",73,NA,NA,NA,0.0222504
"2161","12953268",83,NA,NA,NA,0.0252984
"2171","12953268",79,NA,NA,NA,0.0240792
"2181","12953268",84,NA,NA,NA,0.0256032
"2191","12953268",74,NA,NA,NA,0.0225552
"2201","12953268",82,NA,NA,NA,0.0249936
"2211","12953218",11,NA,NA,NA,0.0033528
"2221","12953218",14,NA,NA,NA,0.0042672
"2231","12953218",17,NA,NA,NA,0.0051816
"2241","12953218",15,NA,NA,NA,0.004572
"2251","12953218",13,NA,NA,NA,0.0039624
"2261","12953218",13,NA,NA,NA,0.0039624
"2271","12953218",11,NA,NA,NA,0.0033528
"2281","12953218",14,NA,NA,NA,0.0042672
"2291","12953218",17,NA,NA,NA,0.0051816
"2301","12953218",18,NA,NA,NA,0.0054864
"2311","12953218",22,NA,NA,NA,0.0067056
"2321","12953218",20,NA,NA,NA,0.006096
"2331","12953218",23,NA,NA,NA,0.0070104
"2341","12953314",60,NA,NA,NA,0.018288
"2351","12953314",69,NA,NA,NA,0.0210312
"2361","12953314",93,NA,NA,NA,0.0283464
"2371","12953314",72,NA,NA,NA,0.0219456
"2381","12953314",61,NA,NA,NA,0.0185928
"2391","12953314",102,NA,NA,NA,0.0310896
"2401","12953314",105,NA,NA,NA,0.032004
"2411","12953314",105,NA,NA,NA,0.032004
"2421","12953314",96,NA,NA,NA,0.0292608
"2431","12953314",96,NA,NA,NA,0.0292608
"2441","12953314",90,NA,NA,NA,0.027432
"2451","12953314",97,NA,NA,NA,0.0295656
"2461","12953314",69,NA,NA,NA,0.0210312
"2471","1293314",106,NA,NA,NA,0.0323088
"2481","1293314",111,NA,NA,NA,0.0338328
"2491","1293314",108,NA,NA,NA,0.0329184
"2501","1293314",102,NA,NA,NA,0.0310896
"2511","1293314",105,NA,NA,NA,0.032004
"2521","1293314",95,NA,NA,NA,0.028956
"2531","1293314",90,NA,NA,NA,0.027432
"2541","1293314",96,NA,NA,NA,0.0292608
"2551","1293314",87,NA,NA,NA,0.0265176
"2561","1293314",83,NA,NA,NA,0.0252984
"2571","1293314",81,NA,NA,NA,0.0246888
"2581","1293314",78,NA,NA,NA,0.0237744
"2591","1293314",60,NA,NA,NA,0.018288
"2601","12952678",31,NA,NA,NA,0.0094488
"2611","12952678",32,NA,NA,NA,0.0097536
"2621","12952678",29,NA,NA,NA,0.0088392
"2631","12952678",32,NA,NA,NA,0.0097536
"2641","12952678",37,NA,NA,NA,0.0112776
"2651","12952678",23,NA,NA,NA,0.0070104
"2661","12952678",25,NA,NA,NA,0.00762
"2671","12952678",35,NA,NA,NA,0.010668
"2681","12952678",30,NA,NA,NA,0.009144
"2691","12952678",36,NA,NA,NA,0.0109728
"2701","12952678",30,NA,NA,NA,0.009144
"2711","12952678",36,NA,NA,NA,0.0109728
"2721","12952678",38,NA,NA,NA,0.0115824
"2731","12953246",18,NA,NA,NA,0.0054864
"2741","12953246",11,NA,NA,NA,0.0033528
"2751","12953246",12,NA,NA,NA,0.0036576
"2761","12953246",16,NA,NA,NA,0.0048768
"2771","12953246",13,NA,NA,NA,0.0039624
"2781","12953246",19,NA,NA,NA,0.0057912
"2791","12953246",10,NA,NA,NA,0.003048
"2801","12953246",34,NA,NA,NA,0.0103632
"2811","12953246",14,NA,NA,NA,0.0042672
"2821","12953246",10,NA,NA,NA,0.003048
"2831","12953246",17,NA,NA,NA,0.0051816
"2841","12953246",8,NA,NA,NA,0.0024384
"2851","12953246",7,NA,NA,NA,0.0021336
"2861","12953302",91,NA,NA,NA,0.0277368
"2871","12953302",76,NA,NA,NA,0.0231648
"2881","12953302",121,NA,NA,NA,0.0368808
"2891","12953302",51,NA,NA,NA,0.0155448
"2901","12953302",59,NA,NA,NA,0.0179832
"2911","12953302",63,NA,NA,NA,0.0192024
"2921","12953302",58,NA,NA,NA,0.0176784
"2931","12953302",63,NA,NA,NA,0.0192024
"2941","12953302",56,NA,NA,NA,0.0170688
"2951","12953302",75,NA,NA,NA,0.02286
"2961","12953302",46,NA,NA,NA,0.0140208
"2971","12953302",66,NA,NA,NA,0.0201168
"2981","12953302",66,NA,NA,NA,0.0201168
"2991","12953302",20,NA,NA,NA,0.006096
"3001","12953302",27,NA,NA,NA,0.0082296
"3011","12953302",39,NA,NA,NA,0.0118872
"3021","12953302",36,NA,NA,NA,0.0109728
"3031","12953302",33,NA,NA,NA,0.0100584
"3041","12953302",36,NA,NA,NA,0.0109728
"3051","12953302",35,NA,NA,NA,0.010668
"3061","12953302",33,NA,NA,NA,0.0100584
"3071","12953302",48,NA,NA,NA,0.0146304
"3081","12953302",48,NA,NA,NA,0.0146304
"3091","12953302",45,NA,NA,NA,0.013716
"3101","12953302",45,NA,NA,NA,0.013716
"3111","12953302",57,NA,NA,NA,0.0173736
"3121","12953302",79,NA,NA,NA,0.0240792
"3131","12953302",74,NA,NA,NA,0.0225552
"3141","12953302",63,NA,NA,NA,0.0192024
"3151","12953302",72,NA,NA,NA,0.0219456
"3161","12953302",63,NA,NA,NA,0.0192024
"3171","12953302",79,NA,NA,NA,0.0240792
"318","12953302",54,NA,NA,NA,0.0164592
"319","12953302",59,NA,NA,NA,0.0179832
"320","12953302",55,NA,NA,NA,0.016764
"3211","12953302",66,NA,NA,NA,0.0201168
"3221","12953302",72,NA,NA,NA,0.0219456
"3231","12953302",57,NA,NA,NA,0.0173736
"3241","12953302",72,NA,NA,NA,0.0219456
"3251","12952856",33,NA,NA,NA,0.0100584
"3261","12952856",30,NA,NA,NA,0.009144
"3271","12952856",36,NA,NA,NA,0.0109728
"3281","12952856",42,NA,NA,NA,0.0128016
"3291","12952856",39,NA,NA,NA,0.0118872
"3301","12952856",33,NA,NA,NA,0.0100584
"3311","12952856",39,NA,NA,NA,0.0118872
"3321","12952856",54,NA,NA,NA,0.0164592
"3331","12952856",48,NA,NA,NA,0.0146304
"3341","12952856",40,NA,NA,NA,0.012192
"3351","12952856",34,NA,NA,NA,0.0103632
"3361","12952856",36,NA,NA,NA,0.0109728
"3371","12952856",33,NA,NA,NA,0.0100584
